Event	ID	Name			Wwise Object Path	Notes
	131589790	Play_Stone_Grind			\Default Work Unit\SFX\Play\Play_Stone_Grind	
	287728669	Stop_SFX			\Default Work Unit\SFX\Stop\Stop_SFX	
	558487958	Play_Tiki_Jump			\Default Work Unit\SFX\Play\Play_Tiki_Jump	
	584874593	Play_Tiki_Fly			\Default Work Unit\SFX\Play\Play_Tiki_Fly	
	811708576	Play_Forest_Ambience			\Default Work Unit\Ambience\Play\Play_Forest_Ambience	
	987064643	Stop_Menu_Song			\Default Work Unit\Music\Stop\Stop_Menu_Song	
	1120539161	Play_Menu_Song			\Default Work Unit\Music\Play\Play_Menu_Song	
	1149159311	Play_Button_Click			\Default Work Unit\SFX\Play\Play_Button_Click	
	1149416885	Play_Outro_Song			\Default Work Unit\Play_Outro_Song	
	1269639012	Play_Intro_Song			\Default Work Unit\Play_Intro_Song	
	1298030391	Stop_Game_Loop			\Default Work Unit\Music\Stop\Stop_Game_Loop	
	1306435193	Play_Slider			\Default Work Unit\SFX\Play\Play_Slider	
	1432333832	Play_Tiki_Death			\Default Work Unit\SFX\Play\Play_Tiki_Death	
	1498169336	Play_River			\Default Work Unit\Play_River	
	1570866151	Play_Tiki_Kicked			\Default Work Unit\SFX\Play\Play_Tiki_Kicked	
	1602358412	Play_Footstep			\Default Work Unit\SFX\Play\Play_Footstep	
	1700605603	Play_Waves_Ambience			\Default Work Unit\Play_Waves_Ambience	
	1892918203	Play_Tiki_Spots_Player			\Default Work Unit\SFX\Play\Play_Tiki_Spots_Player	
	1977644338	Play_Throw			\Default Work Unit\SFX\Play\Play_Throw	
	2297295732	Stop_Cutscene_Music			\Default Work Unit\Stop_Cutscene_Music	
	2541567472	Play_Whisper			\Default Work Unit\SFX\Play\Play_Whisper	
	2560417293	Play_Game_Loop			\Default Work Unit\Music\Play\Play_Game_Loop	
	2693257580	Play_Whistle			\Default Work Unit\SFX\Play\Play_Whistle	
	2825395259	Play_Player_Walk			\Default Work Unit\SFX\Play\Play_Player_Walk	
	2837384057	Stop_Music			\Default Work Unit\Music\Stop\Stop_Music	
	2879649505	Play_Tiki_Land			\Default Work Unit\SFX\Play\Play_Tiki_Land	
	2989050186	Stop_Forest_Ambience			\Default Work Unit\Ambience\Stop\Stop_Forest_Ambience	
	3015324718	Play_Fire			\Default Work Unit\SFX\Play\Play_Fire	
	3271638344	Play_Button_Hovored			\Default Work Unit\SFX\Play\Play_Button_Hovored	
	3355154173	Play_Confirmation			\Default Work Unit\SFX\Play\Play_Confirmation	
	3396624776	Play_Follow_Start			\Default Work Unit\SFX\Play\Play_Follow_Start	
	3430733157	Pause_SFX			\Default Work Unit\Music\Pauses & Resumes\Pause_SFX	
	3681675760	Stop_Menu_Ambience			\Default Work Unit\Ambience\Stop\Stop_Menu_Ambience	
	3738477218	Play_Menu_Ambience			\Default Work Unit\Ambience\Play\Play_Menu_Ambience	
	4118937608	Resume_SFX			\Default Work Unit\Music\Pauses & Resumes\Resume_SFX	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1006694123	Music_Volume			\Default Work Unit\Music_Volume	
	1564184899	SFX_Volume			\Default Work Unit\SFX_Volume	
	3024472480	High_Pass_Filter			\Default Work Unit\High_Pass_Filter	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8469918	Silent Whispers_6	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\extra whispers_56D15494.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\whispers\Silent Whispers_6		16818
	32275095	wood_block_sticks_hit_clap_11	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\wood_block_sticks_hit_clap_11_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Buttons\button\wood_block_sticks_hit_clap_11		7531
	44699848	whistle_03	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\whistle_15A3E740.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Player\whistle\whistle_03		3823
	84857904	Pickle Rick	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\MOAR WHISPERS_8E20F878.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\whispers\Pickle Rick		11809
	96208364	Infados	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\Infados_F29F7F36.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\Music\GameLoop\Infados		3462702
	100004930	dathScrems	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\dathScrems_4A920D11.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\death\dathScrems		5526
	107346287	Seq 2_1 Hit #3 96 HK1	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\Seq 2.1 Hit #3 96 HK1_10741EC9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\land\Seq 2_1 Hit #3 96 HK1		2744
	110783047	footstep_dirt_walk_run_08	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\footstep_dirt_walk_run_08_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\tikiWalk\footstep_dirt_walk_run_08		4408
	114377891	pickedUp_03	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\pickedUp_36B8D44A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Tiki\followStart\pickedUp_03		6534
	137451578	whistle_06	C:\Users\sebastian.fransson\Documents\Visual Studio 2015\Projects\Valiant Corgi\WWise Project\Valiant Corgi - Game 2\.cache\Windows\SFX\whistle_D760EC99.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Container\SFX\Player\whistle\whistle_06		5016
